ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Hawkenbury Recreation Ground Hawkenbury Road Royal Tunbridge Wells,OSGB36,559869,138478,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,sunrise-sunset,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10000067123,TN2 5BW,Hawkenbury Road,http://statistics.data.gov.uk/id/statistical-geography/E05005141,Park
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,The Street/Sissinghurst Road Sissinghurst Cranbrook,OSGB36,579225,137519,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 16:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10000067168,TN17 2JA,Sissinghurst Road,http://statistics.data.gov.uk/id/statistical-geography/E05005135,Frittenden and Sissinghurst
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Dunorlan Park Pembury Road Royal Tunbridge Wells,OSGB36,559925,139660,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,sunrise-sunset,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services - Park is no longer staffed or locked at night,10000067169,TN2 3QN,Pembury Road,http://statistics.data.gov.uk/id/statistical-geography/E05005141,Park
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Crane Lane Cranbrook,OSGB36,577601,135977,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 18:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10008667858,TN17 3DG,Crane Lane,http://statistics.data.gov.uk/id/statistical-geography/E05005130,Benenden and Cranbrook
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,London Road Southborough Royal Tunbridge Wells,OSGB36,558147,142051,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 18:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10000066621,TN4 0NA,London Road,http://statistics.data.gov.uk/id/statistical-geography/E05005148,Southborough North
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,The Green Maidstone Road Matfield Tonbridge,OSGB36,565771,141644,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,None,No,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 18:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10008669395,TN12 7LW,Maidstone Road,http://statistics.data.gov.uk/id/statistical-geography/E05005131,Brenchley and Horsmonden
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Balcombes Hill Goudhurst Cranbrook,OSGB36,572235,137612,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 18:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10008669012,TN17 1AT,Balcombes Hill,http://statistics.data.gov.uk/id/statistical-geography/E05005136,Goudhurst and Lamberhurst
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Grosvenor Recreation Ground Auckland Road Royal Tunbridge Wells,OSGB36,559070,140606,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,sunrise-sunset,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services -  Park is no longer staffed or locked at night,10000069605,TN1 2JB,Auckland Road,http://statistics.data.gov.uk/id/statistical-geography/E05005144,St James'
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,St Johns Recreation Ground Beltring Road Royal Tunbridge Wells,OSGB36,558017,140659,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,sunrise-sunset,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services -  Park is no longer staffed or locked at night,10000069608,TN4 9RG,Beltring Road,http://statistics.data.gov.uk/id/statistical-geography/E05005145,St John's
22/10/2014,http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells,http://id.esd.org.uk/service/579,Public toilets,Calverley Grounds Mount Pleasant Avenue Royal Tunbridge Wells,OSGB36,558551,139273,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,http://www.tunbridgewells.gov.uk/residents/sports-leisure-and-culture/public-toilets,07:00 - 18:00,Tunbridge Wells Borough Council,info@tunbridgewells.gov.uk,01892 526121,Property Services,10000069601,TN1 1QY,Mount Pleasant Avenue,http://statistics.data.gov.uk/id/statistical-geography/E05005141,Park
