ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Boscombe Bus Station,OSGB36,411533.69,92065.02,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"PUBLIC CONVENIENCES
 BOSCOMBE BUS STATION
 ASHLEY ROAD
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Hengistbury Head,OSGB36,418076.55,90759.48,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,None,No,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/LeisureCultureLibraries/SeafrontBeaches/ServiceStandards/SeafrontToiletsServiceStandards.aspx,08:30-sunset,Bournemouth Borough Council seafront services,seafront@bournemouth.gov.uk,01202451781,Inspected 3 times daily increasing in season (Easter to end September),,,"HENGISTBURY HEAD PUBLIC CONVENIENCES
 HENGISTBURY HEAD
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,East Overcliff,OSGB36,409525.63,90955.17,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,Yes,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,Mother and baby room. opening hours flexible and will be adjusted to cope with seasonal demand,,,"EAST OVERCLIFF LIFT PUBLIC CONVENIENCES
 EAST OVERCLIFF DRIVE
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Firbank Road,OSGB36,409844.19,93642.47,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"FIRBANK ROAD PUBLIC CONVENIENCES
 FIRBANK ROAD
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Fishermans Walk,OSGB36,412935.20,91813.08,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,None,No,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"FISHERMANS WALK GARDENS PUBLIC CONVENIENCES
 FISHERMANS WALK GARDENS
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Fishermans Overcliff,OSGB36,412983.09,91361.69,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,Yes,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,Baby change in gents. opening hours flexible and will be adjusted to cope with seasonal demand,,,"FISHERMANS OVERCLIFF PUBLIC CONVENIENCES
 SOUTHBOURNE OVERCLIFF DRIVE
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Glen Fern Road,OSGB36,409052.71,91292.37,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"GLEN FERN ROAD PUBLIC CONVENIENCES
 GLEN FERN ROAD
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Leslie Road,OSGB36,408564.61,93486.01,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-18:00,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"LESLIE ROAD PUBLIC CONVENIENCES
 LESLIE ROAD
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Lower Gardens,OSGB36,408602.46,91076.54,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,Yes,No,Yes,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,Mother and baby room  attended full time during air festival. opening hours flexible and will be adjusted to cope with seasonal demand,,,"LOWER GARDENS PUBLIC CONVENIENCES
 LOWER GARDENS
 BOURNEMOUTH",,
12/02/2015,http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth,http://id.esd.org.uk/service/579,Public toilets,Boscombe Overcliff Gardens,OSGB36,411524.49,91285.33,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Unisex,Yes,No,No,No,No,No,No,,0.00,http://www.bournemouth.gov.uk/StreetsTransport/StreetCareCleaning/PublicConveniences.aspx,Apr-Sep: 07:00-17:30,Bournemouth Borough Council,enquiries@bournemouth.gov.uk,01202451199,opening hours flexible and will be adjusted to cope with seasonal demand,,,"PUBLIC CONVENIENCES
 BOSCOMBE OVERCLIFF GARDENS
 BOSCOMBE CLIFF ROAD
 BOURNEMOUTH
 BH5 1DH",,
