ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Bridgewater Road,OSGB36,357102,169937,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,None,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"08:30-18:00; 07:00-08:30 ""opened sometime between 07:00 and 08:30""; 18:00-19:30 ""closes sometime between 18:00 and 19:30""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317725,BS13 7DX,"opposite 13 Brunel Road, Bridgewater Road",http://statistics.data.gov.uk/id/statistical-geography/E05001976,Bishopsworth
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Hartcliffe Customer Service Point,OSGB36,358432,167456,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Mo,Tu,Th 08:30-17:00",,,,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000169497,BS13 0BD,"Symes House, Peterson Square, Hartcliffe, Bristol BS13 0BD",http://statistics.data.gov.uk/id/statistical-geography/E05002005,Whitchurch Park
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Ashton Park,OSGB36,356866,171524,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,None,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,Mo-Su 08:30-18:00,Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000342083,,Ashton Road,http://statistics.data.gov.uk/id/statistical-geography/E05002001,Southville
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Hen and Chicken public house,OSGB36,357678,171487,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,Mo-Su 09:00-24:00,Private,,,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000122485,BS3 1JF,210 North St,http://statistics.data.gov.uk/id/statistical-geography/E05002001,Southville
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Windmill Hill City Farm,OSGB36,358895,171647,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Tu-Sa 09:00-17:00 ""closed on Public Holidays""",Private,,,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000260690,BS3 4EA,"Phillip Street, Bedminster, Bristol BS3 4EA",http://statistics.data.gov.uk/id/statistical-geography/E05002001,Southville
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Hengrove Park Recreation Ground,OSGB36,359352,168618,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Mo-Fr 10:00-19:00; Sa,Su 10:00-18:00",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317797,BS14 0HR,Hengrove Leisure Park,http://statistics.data.gov.uk/id/statistical-geography/E05001989,Hengrove
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,St George's Park,OSGB36,361851,173568,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,None,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"08:30-18:00; 07:00-08:30 ""opened sometime between 07:00 and 08:30""; 18:00-19:30 ""closes sometime between 18:00 and 19:30""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000300375,BS5 9AA,"Church Road, at junction with Chalks Road",http://statistics.data.gov.uk/id/statistical-geography/E05001999,St. George West
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Redcatch Park,OSGB36,360359,170733,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"07:30-17:30; 17:30-18:30 ""closes sometime between 17:30 and 18:30""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317731,BS4 2RA,Broadwalk,http://statistics.data.gov.uk/id/statistical-geography/E05001994,Knowle
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Create Centre,OSGB36,356837,172222,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,Mo-Fr 09:00-17:00,Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000113107,BS1 6XN,Smeaton Road,http://statistics.data.gov.uk/id/statistical-geography/E05001979,Cabot
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Wapping Wharf,OSGB36,358239,172203,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,No,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Jun-Aug 08:30-18:00, Jun-Aug 07:00-08:30 ""may be open"", Jun-Aug 18:00-19:30 ""may have closed""; Oct-Mar 08:30-20:00, Oct-Mar 07:00-08:30 ""may be open""; Apr,May,Sep 08:30-21:00, Apr,May,Sep 07:00-08:30 ""may be open""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317726,BS1 6UD,"On the quay side between the Maritime Heritage centre and the Industrial Museum, Wapp",http://statistics.data.gov.uk/id/statistical-geography/E05001979,Cabot
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Sea Walls,OSGB36,355952,174767,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,None,,Yes,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Jun-Aug 08:30-18:00, Jun-Aug 07:00-08:30 ""may be open"", Jun-Aug 18:00-19:30 ""may have closed""; Oct-Mar 08:30-20:00, Oct-Mar 07:00-08:30 ""may be open""; Apr,May,Sep 08:30-21:00, Apr,May,Sep 07:00-08:30 ""may be open""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000302548,,"Circular Road, Durdham Down",http://statistics.data.gov.uk/id/statistical-geography/E05002003,Stoke Bishop
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Brislington Park and Ride,OSGB36,362738,170062,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Mo,Tu,We,Fr 06:45-19:00; Th 06:45-20:20; Sa 07:40-19:00",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317801,BS14 5LR,Bath Road,http://statistics.data.gov.uk/id/statistical-geography/E05001978,Brislington West
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Central Library,OSGB36,358220,172664,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,,Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317802,BS1 5TD,College Green,http://statistics.data.gov.uk/id/statistical-geography/E05001979,Cabot
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Blaise Castle Estate,OSGB36,355886,178557,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,08:00-(Sunset-01:00),Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317803,BS10 7QS,Henbury Road,http://statistics.data.gov.uk/id/statistical-geography/E05001988,Henbury
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Stoke Road,OSGB36,357193,174939,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,Yes,,,,Yes,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"May-Aug 09:00-21:00; Oct-Mar 09:00-16:00; Apr,Sep 09:00-18:00",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000300023,BS9 1ZZ,Adjacent to the water tower Stoke Road,http://statistics.data.gov.uk/id/statistical-geography/E05002003,Stoke Bishop
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,The Galleries,OSGB36,359157,173225,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,Yes,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,Mo-Sa 08:15-18:00; Su 11:00-17:00,Private,,,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,00000192352,BS1 3XD,Broadmead,http://statistics.data.gov.uk/id/statistical-geography/E05001979,Cabot
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Asda,OSGB36,360403,168482,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"Mo-We 08:30-21:00; Th,Fr 08:30-22:00; Sa 08:00-20:00; Su 10:00-16:00",Private,,,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000158067,BS14 0ST,"Whitchurch District Centre, Oatlands Avenue",http://statistics.data.gov.uk/id/statistical-geography/E05001989,Hengrove
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Eastville,OSGB36,361436,175164,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,,,,,,,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,,Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000317804,BS5 6XA,Eastville Park,http://statistics.data.gov.uk/id/statistical-geography/E05001984,Eastville
03/09/2014,http://opendatacommunities.org/id/unitary-authority/bristol,"Bristol, City of",http://id.esd.org.uk/service/579,Public Toilets,Greystoke Avenue,OSGB36,358231,178372,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,,Yes,,,,No,,,,http://www.bristol.gov.uk/page/community-and-safety/public-toilets,"08:30-18:00; 07:00-08:30 ""opened sometime between 07:00 and 08:30""; 18:00-19:30 ""closes sometime between 18:00 and 19:30""",Public,customer.services@bristol.gov.uk,0117 922 2100,Contains public sector information licensed under the Open Government Licence v2.0.  Please note that this data has not been updated since the extract date specified.,000000324895,BS10 6AD,Greystoke Avenue,http://statistics.data.gov.uk/id/statistical-geography/E05002000,Southmead
