ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Green Bottom Bowling Green Public Conveniences,OSGB36,419136,441656,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/4164/BLDG,,LS20 8,Silverdale Avenue,http://statistics.data.gov.uk/id/statistical-geography/E05001425,Guiseley and Rawdon
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,White House Caf Public Conveniences,OSGB36,420312,444481,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,Yes,No,,,,0,,,Physical Disabilities,,,ASSET/008790/BLDGC,,LS21 3,Johnny Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001437,Otley and Yeadon
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Tarnfield Park Disabled Public Conveniences,OSGB36,421324,441300,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/009381/BLDG,,LS19 7UR,Cemetery Road,http://statistics.data.gov.uk/id/statistical-geography/E05001437,Otley and Yeadon
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Tarnfield Park Public Conveniences,OSGB36,421440,441194,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/0381/BLDGC,,LS19 7,Dam Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001437,Otley and Yeadon
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Yeadon Cemetery Public Conveniences,OSGB36,421451,441744,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,P and C Cemeteries and Crematoria,,,ASSET/0838/BLDGC,,LS19 7UR,Cemetery Road,http://statistics.data.gov.uk/id/statistical-geography/E05001437,Otley and Yeadon
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Rodley Lane Public Conveniences",OSGB36,422275,436350,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Environmental Services,,,ASSET/0219/BLDG,,LS13 1,Rodley Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001418,Calverley and Farsley
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Horsforth Hall Park Public Conveniences,OSGB36,423305,438083,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/0330/BLDG,,LS18 5JY,Hall Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001428,Horsforth
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"(Gents)
Hall Lane Public Conveniences",OSGB36,423313,438068,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,Male,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/0323/BLDGC,,LS18 5JY,Hall Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001428,Horsforth
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Bramley District Centre Public Conveniences,OSGB36,424649,435125,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Environmental Services,,,ASSET/0221/BLDG,,LS13 2,Town Street,http://statistics.data.gov.uk/id/statistical-geography/E05001416,Bramley and Stanningley
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Old Lane
 Bramhope Public Conveniences",OSGB36,424781,443288,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Environmental Services,,,ASSET/0214/BLDG,,LS16 9,Old Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Holt Park Shopping Centre
",OSGB36,425967,440060,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Asset Management (Investment),,,ASSET/009304/BLDG,,LS16 7,Holt Road,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Morley Leisure Centre Public Conveniences,OSGB36,426085,427819,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,Yes,No,,,,0,,,Physical Disabilities,,,ASSET/008788/BLDGC,,LS27 9JP,Queensway,http://statistics.data.gov.uk/id/statistical-geography/E05001436,Morley South
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Abbey Mills Public Conveniences,OSGB36,426270,435671,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Economic Development,,,ASSET/4877/BLDGC,,LS5 3,Abbey Road,http://statistics.data.gov.uk/id/statistical-geography/E05001432,Kirkstall
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Golden Acre Park Public Conveniences",OSGB36,426765,441794,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/0495/BLDG,,LS16 8BQ,Otley Road,http://statistics.data.gov.uk/id/statistical-geography/E05001411,Adel and Wharfedale
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Armley Sports And Leisure Centre,OSGB36,426948,433233,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,Yes,No,,,,0,,,Physical Disabilities,,,ASSET/008789/BLDGC,,LS12 3HB,Carr Crofts,http://statistics.data.gov.uk/id/statistical-geography/E05001414,Armley
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Ash Road Public Conveniences,OSGB36,427692,436144,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Environmental Services,,,ASSET/009334/BLDG,,LS6 3,North Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001427,Headingley
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Woodhouse MoorBowling Green Public Conveniences",OSGB36,428944,434865,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/6724/BLDGC,,LS2 9,Woodhouse Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001429,Hyde Park and Woodhouse
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Woodhouse Lane Public Conveniences,OSGB36,428972,435394,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/1025/BLDGC,,LS2 9,Woodhouse Lane,http://statistics.data.gov.uk/id/statistical-geography/E05001429,Hyde Park and Woodhouse
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Middleton Golf Course Public Conveniences",OSGB36,429214,428483,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,Female,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/0390/BLDGC,,LS10 3,,http://statistics.data.gov.uk/id/statistical-geography/E05001433,Middleton Park
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Millennium Square Public Conveniences,OSGB36,429849,434005,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Arts and Events,,,ASSET/5082/BLDGC,,LS1 3,Millennium Square,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Linden Avenue
 Allotments",OSGB36,429945,431389,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/6770/BLDGC,,LS11 6,Linden Avenue,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Technorth Centre,OSGB36,430750,436645,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,Yes,,,Yes,No,,,,0,,,Physical Disabilities,,,ASSET/008787/BLDGC,,LS7 3NB,Harrogate Road,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,West Yorkshire Playhouse,OSGB36,430765,433632,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,Yes,,,Yes,No,,,,0,,,Asset Management (Investment),,,ASSET/008914/BLDGC,,LS2 7UP,St Peters Street,http://statistics.data.gov.uk/id/statistical-geography/E05001420,City and Hunslet
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Reginald Centre Public Conveniences,OSGB36,430929,435812,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,Yes,No,,,,0,,,Physical Disabilities,,,ASSET/008786/BLDGC,,LS7 3EX,Chapeltown Road,http://statistics.data.gov.uk/id/statistical-geography/E05001419,Chapel Allerton
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,Marsh Street Rothwell  Public Conveniences,OSGB36,434530,428083,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Environmental Services,,,ASSET/0225/BLDG,,LS26 0,Marsh Street,http://statistics.data.gov.uk/id/statistical-geography/E05001439,Rothwell
29/07/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/579,Public toilets,"
Templenewsam Golf Club
 Public Conveniences",OSGB36,434838,432875,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,,,No,,,No,No,,,,0,,,Parks and Countryside,,,ASSET/7140/BLDGC,,LS15 0LN,Templenewsam Road,http://statistics.data.gov.uk/id/statistical-geography/E05001441,Temple Newsam
