ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,Aldingham,OSGB36,328313,470992,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,No,No,No,No,No,No,No,,0,,09:00-dusk,Aldingham Community Toilets Group,parish.clerk@aldingham.org.uk,01229 869709,"On most days only the disabled toilet is opened as a unisex facility, donations welcome, parking adjacent.",10090931106,LA12 9RT,Aldingham,http://statistics.data.gov.uk/id/statistical-geography/E05003262,Low Furness
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Low Fold Car Park, Lake Road, Ambleside",OSGB36,337724,503815,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,None,,Yes,No,No,No,No,No,,0.2,,00:00-24:00,Lakes Parish Council,,015394 34656,,10090932969,LA22 0DN,"Low Fold Car Park, Lake Road, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Mechanics Institute, Rear of Market Place, Lake Road, Ambleside",OSGB36,337720,504463,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,No,Yes,No,No,No,No,No,,0.2,,"Apr-Oct 08:30-19:00, Nov-Mar 08:30-17:00",Lakes Parish Council,,015394 34656,,10090932970,LA22 9BY,"Mechanics Institute, Rear of Market Place, Lake Road, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Rydal Road, Ambleside",OSGB36,337568,504698,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,Yes,Yes,No,No,No,No,No,,0.2,,"Apr-Oct 08:30-19:00, Nov-Mar 08:30-17:00",Lakes Parish Council,,015394 34656,,10090931108,LA22 9PL,"Rydal Road, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Rothay Park, (opposite St Mary's Church), Vicarage Lane, Ambleside",OSGB36,337357,504397,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,,Apr-Oct 09:00-19:00,Lakes Parish Council,,015394 34656,,10090932960,LA22 9DH,"Rothay Park, Vicarage Lane, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"White Platts Recreation Ground, Compston Road, Ambleside",OSGB36,337484,504308,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and Male,Unisex,No,No,No,No,No,No,No,,0.2,,"Apr-May 11:00-17:00, June-Sep 10:00-19:00, PH 10:00-19:00, Oct 11:00-17:00, Nov-Mar closed unless PH",Lakes Parish Council,,015394 34656,Free if playing customer,1.00E+11,LA22 9DJ,"White Platte Recreation Ground, Compston Road, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Promenade, (seaward side), Arnside",OSGB36,345703,478921,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,,,,,No,,No,No,,,,,Arnside Parish Council,,,,10090932958,LA5 0HD,"Promenade, Arnside",http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,Bardsea,OSGB36,330204,474303,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,,,,,No,,No,No,,,,,Community Group - James Airey,,,Honesty box for donations,10090932959,LA12 9QU,Bardsea,http://statistics.data.gov.uk/id/statistical-geography/E05003262,Low Furness
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"The Square, Broughton-in-Furness",OSGB36,321276,487616,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,,00:00-24:00,Duddon Parish Council,info@duddonparishcouncil.org.uk,01229 716770,,10090931116,LA20 6HZ,"The Square, Broughton-in-Furness",http://id.esd.org.uk/neighbourhood/NN319a,Broughton
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Station Road, Cark-in-Cartmel",OSGB36,336342,476483,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,Yes,No,No,No,No,No,No,,0,,07:00-19:00,Lower Holker Parish Council,,tbc,,10090932961,LA11 7NY,"Station Road, Cark-in-Cartmel",http://statistics.data.gov.uk/id/statistical-geography/E05003246,Holker
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,Cartmel,OSGB36,337882,478714,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,,,,,No,,No,No,,,,,Lower Allithwaite Parish Council,,,,10090931114,LA11 6PN,Cartmel,http://statistics.data.gov.uk/id/statistical-geography/E05003240,Cartmel and Grange West
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,Chapel Stile,OSGB36,332189,505295,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,None,,No,No,No,No,No,No,,0,,Apr-Oct 09:00-18:00,Lakes Parish Council,,015394 34656,,10090931118,LA22 9JJ,"Chapel Stile, Ambleside",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Bridge Toilets, Bridge House, Coniston",OSGB36,330183,497553,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,,,No,No,No,No,No,No,,0,,Apr-Oct 07:00-22:00; Nov-Mar closed,Coniston Parish Council,parish@coniston.info,015394 41713,,10090931117,LA21 8HJ,"BridgeToilets, Bridge House, Coniston",http://statistics.data.gov.uk/id/statistical-geography/E05003241,Coniston and Crake Valley
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Church Hill, Grange-over-Sands",OSGB36,340691,477906,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unisex,Unisex,Yes,Yes,No,No,Yes,No,No,,0.2,,dawn-dusk,Healthmatic,,01249 823 143,A radar key can be used at the disabled cubicle.  The cubicle can also be opened with 20p.,10090932842,LA11 6DD,"Church Hill, Grange-over-Sands",http://statistics.data.gov.uk/id/statistical-geography/E04002607,Grange-over-Sands
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Ornamental Gardens, Grange-over-Sands",OSGB36,341041,478143,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unisex,Unisex,Yes,Yes,No,No,Yes,No,No,,0.2,,dawn-dusk,Healthmatic,,01249 823 143,A radar key can be used at the disabled cubicle.  The cubicle can also be opened with 20p.,10090932957,LA11 6EH,"Ornamental Gardens, Grange-over-Sands",http://statistics.data.gov.uk/id/statistical-geography/E04002607,Grange-over-Sands
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"The Promenade, opposite Lido, Grange-over-Sands",OSGB36,340547,477231,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unisex,Unisex,Yes,Yes,No,No,Yes,No,No,,0.2,,dawn-dusk,Healthmatic,,01249 823 143,A radar key can be used at the disabled cubicle.  The cubicle can also be opened with 20p.,10090931115,LA11 7DQ,"The Promenade, opposite Lido, Grange-over-Sands",http://statistics.data.gov.uk/id/statistical-geography/E04002607,Grange-over-Sands
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Victoria Hall, Main Street, Grange-over-Sands",OSGB36,340857,477987,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unisex,Unisex,No,Yes,No,No,No,No,No,,0,,"PH Easter-Oct 10:00-16:00, Nov-PH Easter Mo-Sa 10:00-16:00",Grange Town Council,,015395 32375,Weekend opening dependent on Tourist Information Centre volunteer availability,1.00E+11,LA11 6DP,"Victoria Hall, Main Street, Grange-over-Sands",http://statistics.data.gov.uk/id/statistical-geography/E04002607,Grange-over-Sands
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Moss Parrock, Collega Street, Grasmere",OSGB36,333937,507300,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Female and male,Unisex,Yes,Yes,No,No,No,No,No,,0.2,,"Apr-Oct 09:00-18:00, Nov-Mar 09:00-17:00",Lakes Parish Council,,015394 34656,,10090931119,LA22 9SU,"Moss Parrock, Grasmere",http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
04/09/2014,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/579,Public toilets,"Jingling Lane, Kirkby Lonsdale",OSGB36,361237,478603,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,Unisex,Unisex,Yes,No,No,No,Yes,No,No,,0.2,,06:00-22:00,Kirkby Lonsdale and Lune Valley Community Interest Company,,015242 71437,Joint Town Council/CIC venture,1.00E+11,LA6 2AW,"Jingling Lane, Kirkby Lonsdale",http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
