ExtractDate ,OrganisationURI ,OrganisationLabel ,ServiceTypeURI ,ServiceTypeLabel ,LocationText ,CoordinateReferenceSystem ,GeoX ,GeoY ,GeoPointLicensingURL ,Category ,AccessibleCategory ,RADARKeyNeeded ,BabyChange ,FamilyToilet ,ChangingPlace ,AutomaticPublicConvenience ,FullTimeStaffing ,PartOfCommunityScheme ,ChargeAmount ,InfoURL ,OpeningHours ,ManagedBy ,ReportEmail ,ReportTel ,Notes ,UPRN ,Postcode ,StreetAddress ,GeoAreaURI ,GeoAreaLabel 
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Fort Green Aldeburgh,OSGB36,646462,255995,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,Yes,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 05:30-dusk,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,Automatic locking dusk until dawn,2.00E+11,IP15 5DE,"Fort Green
Fort Green
Aldeburgh
Suffolk
",http://statistics.data.gov.uk/id/statistical-geography/E05007194,Aldeburgh
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,opposite Moot Hall Aldeburgh,OSGB36,646579.3,256852.1,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 08:30-16:30,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,,2.00E+11,IP15 5DS,Crag Path,http://statistics.data.gov.uk/id/statistical-geography/E05007194,Aldeburgh
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,West Lane Aldeburgh,OSGB36,646430,256471,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 08:30-16:30,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,,2.00E+11,IP15 5AP,West Lane,http://statistics.data.gov.uk/id/statistical-geography/E05007194,Aldeburgh
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Bawdsey Quay picnic area,OSGB36,633203,238094,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,April-October;Mo-Su 06:30-17:30,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,,2.00E+11,IP12 3AW,Ferry Road,http://statistics.data.gov.uk/id/statistical-geography/E05007222,Sutton
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,The Beach Dunwich,OSGB36,647889.9,270676.33,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 08:30-16:30,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,,10002229505,IP17 3DJ,Beach Road,http://statistics.data.gov.uk/id/statistical-geography/E05007227,Yoxford
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Bath Tap Undercliff Road East Felixstowe ,OSGB36,631033,234660,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,Yes,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 05:30-dusk,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,Automatic locking dusk until dawn,2.00E+11,IP11 7LR,Undercliff Road East,http://statistics.data.gov.uk/id/statistical-geography/E05007200,Felixstowe South East
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,opp Beach Station Road Sea Road Felixstowe ,OSGB36,629504,233372,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 05:30-17:00,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,Automatic locking dusk until dawn,2.00E+11,IP11 8DN,Sea Road,http://statistics.data.gov.uk/id/statistical-geography/E05007199,Felixstowe South
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Felixstowe Ferry,OSGB36,632907,237716,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,None,No,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 08:30-16:30,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,,2.00E+11,IP11 9RZ,The Ferry,http://statistics.data.gov.uk/id/statistical-geography/E05007197,Felixstowe East
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Golf Road car park Felixstowe ,OSGB36,631758,235342,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,Yes,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,Mo-Su 05:30-dusk,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,Automatic locking dusk until dawn,2.00E+11,IP11 9NB,Golf Road,http://statistics.data.gov.uk/id/statistical-geography/E05007200,Felixstowe South East
03/10/2014,http://opendatacommunities.org/id/district-council/suffolk-coastal,Suffolk Coastal,http://id.esd.org.uk/service/579,Public toilets,Langer Park opposite Holland Road Felixstowe,OSGB36,629529,234075,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Unisex,Yes,No,No,No,No,No,No,0,http://www.suffolkcoastal.gov.uk/yourdistrict/public-conveniences/,April-October;Mo-Su 05:30-17:00,Suffolk Coastal Services Ltd,"""scs@ncsgrp.co.uk""",01394 444000,Automatic locking dusk until dawn,2.00E+11,IP11 8BT,Langer Road,http://statistics.data.gov.uk/id/statistical-geography/E05007199,Felixstowe South
