PublisherLabel,PublisherURL,ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,The Forum - Sittingbourne,OSGB36,590563,163726.1931,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,,ME10 3DL,High Street,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Central Aveune - Sittingbourne,OSGB36,590638,163588.7125,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,100062626665,ME10 4BX,Central Avenue,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Rose Street - Sheerness,OSGB36,592029,174759.7748,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,200002532403,ME12 1UA,Wood Street,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Central Car Park - Faversham,OSGB36,601530,161294.4792,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,200002532252,ME13 8PN,Cross Lane,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,The Spinney - Leysdown,OSGB36,603394,170516.8093,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,200002540694,ME12 4QX,Leysdown Road,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Leysdown Beach Services - Leysdown,OSGB36,603313,170787.4119,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,Saturdays and Sundays and on Bank Holidays from (and including) Good Friday until the last Sunday in October; daily from July until the second Sunday in September.  Open from 09:00 to 18:00,Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,100062626399,ME12 4QE,Grove Avenue,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,King George V Playing Fields - Sittingbourne,OSGB36,589975,162447.0593,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Unisex,Unisex,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,,200002531371,ME10 1QX,Park Avenue,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Milton Regis - Milton Regis,OSGB36,590392,164643.3706,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,,10035063600,ME10 2AN,High Street,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Queenborough Park - Queenborough,OSGB36,590663,172237.4568,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,Disabled Access,200002531702,ME11 5AG,High Street,,
Swale,http://opendatacommunities.org/doc/district-council/swale,29/09/2014,http://opendatacommunities.org/id/district-council/swale,Swale Borough Council,http://id.esd.org.uk/service/579,Public toilets,Barton's Point - Minster on Sea,OSGB36,593675,174597.3013,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and Male,Female and Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,http://www.swale.gov.uk/public-toilets-facilities/,"Monday to Saturday inclusive each weekend, including Bank Holidays.  Monday to Saturday from 07:00 to 19:00 and Sunday and Bank Holidays 09:00 to 18:00",Swale Borough Council,csc@swale.gov.uk,01795-417850,,10023197606,ME12 2BX,Marine Parade,,
