ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,"Regent Road Car Park, Altrincham",WGS84,-2.3529679,53.385792,,Female and male,Unisex,,Yes,No,No,No,No,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Sa 09:15-15:45 ,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,WA14 1RY,"Regent Road, Altrincham",http://statistics.data.gov.uk/id/statistical-geography/E05000819,Altrincham
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,"Hereford Street, Sale",WGS84,-2.3235387,53.424539,,Female and male,Unisex,,Yes,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Su 09:15-15:45 ,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000833,Priory
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,"Cecil Road Car Park, Hale",WGS84,-2.3456722,53.375972,,Female and male,Unisex,,No,No,No,No,No,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Su 09:00-15:45 ,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000831,Hale Central
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Halecroft Park,WGS84,-2.3167098,53.372474,,Female and male,Unisex,,No,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Apr-Sep Mo-Fr 07:30-16:30; Oct-Mar Mo-Fr 07:30-15:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000830,Hale Barns
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Stamford Park,WGS84,-2.3410964,53.383408,,Female and male,None,,No,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Fr 07:30-15:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000831,Hale Central
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Denzell Gardens,WGS84,-2.3705792,53.382448,,Female and male,None,,No,No,No,No,No,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Apr-Sep Mo-Fr 07:30-16:00; Oct-Mar Mo-Fr 07:30-15:00; Sa-Su 07:30-15:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000821,Bowdon
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,John Leigh Park,WGS84,-2.3558593,53.391957,,Female and male,Unisex,,No,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Fr 07:30-16:30,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000819,Altrincham
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Woodheys Park,WGS84,-2.353853,53.410357,,Female and male,Unisex,,Yes,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Su 07:30-18:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,M33 4LP ,"Kenmore Rd, Sale, Cheshire ",http://statistics.data.gov.uk/id/statistical-geography/E05000822,Broadheath
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Walton Park,WGS84,-2.331076,53.4142,,Female and male,None,,No,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Fr 07:30-15:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,,,http://statistics.data.gov.uk/id/statistical-geography/E05000823,Brooklands
09/09/2014,http://opendatacommunities.org/id/metropolitan-district-council/trafford,Trafford,http://id.esd.org.uk/service/579,Public toilets,Walkden Gardens,WGS84,-2.312279,53.418331,,Unisex,None,,No,No,No,No,Yes,No,,0,http://www.trafford.gov.uk/residents/transport-and-streets/street-care-and-cleaning/public-toilets.aspx,Mo-Fr 07:30-15:00,Trafford Council,access.trafford@trafford.gov.uk,0161 912 2000,,,M33 3EL,,http://statistics.data.gov.uk/id/statistical-geography/E05000833,Priory
